10milvoltthunderbolt	10Mil Volt Thunderbolt
twinkletacklepart1	Twinkle Tackle part 1
twinkletacklepart2	Twinkle Tackle part 2
twinkletacklepart3	Twinkle Tackle part 3
twister	Twister
uturn	U-turn
uproar	Uproar
vcreate	V-create
vacuumwave	Vacuum Wave
venomdrench	Venom Drench
venoshock	Venoshock
vicegrip	Vice Grip
vinewhip	Vine Whip
vitalthrow	Vital Throw
voltswitch	Volt Switch
volttackle	Volt Tackle
wakeupslap	Wake-Up Slap
watergun	Water Gun
waterpledge	Water Pledge
waterpulse	Water Pulse
watershuriken1hit	Water Shuriken 1hit
watershuriken2hits	Water Shuriken 2hits
watersport	Water Sport
waterspout	Water Spout
waterfall	Waterfall
weatherball	Weather Ball
whirlpool	Whirlpool
whirlpoolturndamage	Whirlpool turn damage
whirlwind	Whirlwind
wideguard	Wide Guard
wideguardshieldhit	Wide Guard shield hit
wildcharge	Wild Charge
willowisp	Will-O-Wisp
willowisppart1	Will-O-Wisp part 1
wingattack	Wing Attack
wish	Wish
wishpart1	Wish part 1
withdraw	Withdraw
wonderroom	Wonder Room
woodhammer	Wood Hammer
workup	Work Up
worryseed	Worry Seed
worryseedpart1	Worry Seed part 1
wrap	Wrap
wrapturndamage	Wrap turn damage
wringout	Wring Out
xscissor	X-Scissor
yawn	Yawn
zapcannon	Zap Cannon
zenheadbutt	Zen Headbutt
zingzap	Zing Zap
